mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9883173449488746e+33	56926543570.421326	308255.80161167344	63865260008.271515	0.0013641877363461605	85423971281.77423	4.7736254080521357e+27	3.580219056039102e+27	0	1.1934063520130339e+27	0	0	0	0	0
1.9883125713234665e+33	60015612221.95984	312355.11015340977	63795690008.37239	0.0014193392409478738	90059427700.27295	4.956890887040459e+27	3.717668165280344e+27	0	1.2392227217601148e+27	0	0	0	0	0
1.9883076144325795e+33	63235871932.059875	316463.3587149954	63726120008.47327	0.0014760826070973967	94891749421.24905	5.144929728678526e+27	3.858697296508895e+27	0	1.2862324321696316e+27	0	0	0	0	0
1.988302469502851e+33	66591469633.153564	320580.57620218606	63656550008.57414	0.0015344473065194738	99927159331.51024	5.337810591404341e+27	4.003357943553256e+27	0	1.3344526478510853e+27	0	0	0	0	0
1.9882971316922596e+33	70086644670.40149	324706.79163623217	63586980008.675	0.0015944631303940048	105172018992.40446	5.53560243062123e+27	4.1517018229659223e+27	0	1.3839006076553074e+27	0	0	0	0	0
1.988291596089829e+33	73725730266.44708	328842.0341543314	63517410008.77587	0.0016561601925740837	110632830837.83047	5.738374500191449e+27	4.3037808751435867e+27	0	1.4345936250478622e+27	0	0	0	0	0
1.9882858577153288e+33	77513155007.07509	332986.33301008097	63447840008.87675	0.0017195689328365754	116316240403.61688	5.946196353931907e+27	4.4596472654489305e+27	0	1.4865490884829767e+27	0	0	0	0	0
1.9882799115189748e+33	81453444348.0713	337139.71757393645	63378270008.97762	0.0017847201201656902	122229038588.71579	6.159137847127245e+27	4.619353385345434e+27	0	1.5397844617818113e+27	0	0	0	0	0
1.9882737523811278e+33	85551222143.56674	341302.21733366715	63308700009.0785	0.0018516448560697172	128378163948.63625	6.37726913803414e+27	4.7829518535256045e+27	0	1.594317284508535e+27	0	0	0	0	0
1.9882673751119897e+33	89811212196.1715	345473.8618948155	63239130009.179375	0.0019203745779313957	134770705021.57494	6.60066068940274e+27	4.950495517052055e+27	0	1.650165172350685e+27	0	0	0	0	0
1.9882607744513002e+33	94238239829.19658	349654.6809811575	63169560009.28024	0.0019909410623922042	141413902687.69238	6.829383270000569e+27	5.122037452500427e+27	0	1.7073458175001423e+27	0	0	0	0	0
1.9882539450680302e+33	98837233481.2683	353844.7044351635	63099990009.3811	0.0020633764287709016	148315152561.9912	7.063507956138014e+27	5.297630967103511e+27	0	1.7658769890345035e+27	0	0	0	0	0
1.988246881560074e+33	103613226323.65056	358043.96221846424	63030420009.48198	0.0021377131425167595	155482007421.27005	7.303106133212834e+27	5.477329599909626e+27	0	1.8257765333032086e+27	0	0	0	0	0
1.9882395784539406e+33	108571357900.58109	362252.484412314	62960850009.582855	0.0022139840186977087	162922179665.61197	7.548249497243237e+27	5.661187122932428e+27	0	1.8870623743108092e+27	0	0	0	0	0
1.9882320302044433e+33	113716875792.94604	366470.30121805833	62891280009.68373	0.0022922222255238535	170643543814.8948	7.799010056419869e+27	5.849257542314902e+27	0	1.9497525141049673e+27	0	0	0	0	0
1.9882242311943867e+33	119055137305.61432	370697.4429576022	62821710009.7846	0.002372461287906692	178654139040.80484	8.055460132659789e+27	6.041595099494842e+27	0	2.0138650331649473e+27	0	0	0	0	0
1.988216175734254e+33	124591611178.75487	374933.94007387833	62752140009.885475	0.002454735091054352	186962171734.83954	8.317672363160634e+27	6.238254272370475e+27	0	2.0794180907901585e+27	0	0	0	0	0
1.9882078580618908e+33	130331879323.47815	379179.8231313214	62682570009.98634	0.0025390778841033455	195576018112.8113	8.585719701976466e+27	6.439289776482349e+27	0	2.1464299254941164e+27	0	0	0	0	0
1.988199272342189e+33	136281638582.1263	383435.1228163393	62613000010.08722	0.002625524283787048	204504226856.33868	8.859675421578578e+27	6.644756566183933e+27	0	2.2149188553946445e+27	0	0	0	0	0
