mass	pressure	temperature	radius	density	specificenergy	dm
1.9242189766790622e+33	808390943297.7689	598394.9435572352	59193693693.6937	0.009979392609024073	121557643539917.14	3.0275731392786914e+28
1.9241887009476694e+33	834219114996.4174	603118.4156926431	59124054054.05406	0.010217582008819297	122517167259642.11	3.0927521725110908e+28
1.9241577734259442e+33	860723969305.5176	607852.9511801007	59054414414.41442	0.010460102793668612	123478938383058.02	3.158914005449543e+28
1.9241261842858897e+33	887919805578.8464	612598.5874701901	58984774774.77478	0.010707013171969404	124442964517857.08	3.226067599991109e+28
1.9240939236098897e+33	915821168273.089	617355.3621618369	58915135135.13514	0.010958371961617848	125409253301865.86	3.2942219578493017e+28
1.9240609813903113e+33	944442850561.0754	622123.3130028562	58845495495.4955	0.01121423859617747	126377812403156.17	3.3633861207237665e+28
1.924027347529104e+33	973799897995.6304	626902.4778905112	58775855855.85586	0.011474673131111042	127348649520158.77	3.4335691704835103e+28
1.923993011837399e+33	1003907612224.6067	631692.894872063	58706216216.216225	0.01173973625007538	128321772381774.92	3.504780229336269e+28
1.9239579640351058e+33	1034781554757.9331	636494.6021453341	58636576576.576584	0.012009489271280769	129297188747490.72	3.577028460014554e+28
1.9239221937505058e+33	1066437550787.2421	641307.6380592576	58566936936.93694	0.012283994153914369	130274906407488.92	3.6503230659411446e+28
1.9238856905198463e+33	1098891693058.9696	646132.0411144432	58497297297.2973	0.01256331350462974	131254933182763.73	3.7246732914180078e+28
1.9238484437869322e+33	1132160345801.5044	650967.8499637326	58427657657.65766	0.012847510584101779	132237276925233.67	3.800088421793992e+28
1.9238104429027144e+33	1166260148707.2642	655815.1034127659	58358018018.01802	0.013136649313648883	133221945517856.64	3.87657778365034e+28
1.923771677124878e+33	1201208020970.3274	660673.8404205394	58288378378.37838	0.013430794281921975	134208946874743.34	3.95415074497059e+28
1.9237321356174282e+33	1237021165380.513	665544.1000999748	58218738738.73875	0.01373001075166213	135198288941272.72	4.0328167153256345e+28
1.923691807450275e+33	1273717072474.5706	670425.9217184823	58149099099.099106	0.014034364666526562	136189979694206.42	4.112585146046133e+28
1.9236506815988144e+33	1311313524745.3381	675319.3446985283	58079459459.459465	0.014343922657984272	137184027141804.17	4.193465530403434e+28
1.9236087469435103e+33	1349828600909.623	680224.4086182025	58009819819.819824	0.014658752052281725	138180439323938.94	4.27546740378486e+28
1.9235659922694726e+33	1389280680235.6548	685141.1532117889	57940180180.18018	0.014978920877479615	139179224312212.84	4.35860034387502e+28
1.923522406266034e+33	1429688446930.8872	690069.618370336	57870540540.54054	0.015304497870561097	140180390210073.22	4.442873970831702e+28
1.9234779775263257e+33	1471070894590.9814	695009.8441422276	57800900900.90091	0.015635552484612254	141183945152928.2	4.528297947463373e+28
1.923432694546851e+33	1513447330710.8909	699961.8707337609	57731261261.26127	0.015972154896076146	142189897308264.62	4.614881979413105e+28
1.9233865457270568e+33	1556837381258.7114	704925.7385097134	57661621621.62163	0.01631437601207973	143198254875762.7	4.7026358153244514e+28
1.9233395193689036e+33	1601260995313.4185	709901.487993926	57591981981.98199	0.01666228747783641	144209026087414.78	4.791569247034181e+28
1.9232916036764333e+33	1646738449767.1177	714889.1598698739	57522342342.34235	0.017015961684123008	145222219207641.3	4.88169210973783e+28
1.923242786755336e+33	1693290354092.9016	719888.79498125	57452702702.702705	0.01737547177483357	146237842533409.22	4.97301428217807e+28
1.9231930566125142e+33	1740937655179.0295	724900.4343325393	57383063063.063065	0.017740891654609337	147255904394348.72	5.065545686812719e+28
1.923142401155646e+33	1789701642230.518	729924.1190896041	57313423423.42343	0.01811229599654702	148276413152872.0	5.159296290002002e+28
1.923090808192746e+33	1839603951738.9077	734959.8905802623	57243783783.78379	0.018489760249984933	149299377204290.94	5.254276102179356e+28
1.9230382654317243e+33	1890666572521.2678	740007.7902948721	57174144144.14415	0.018873360648368812	150324804976935.66	5.350495178032931e+28
1.9229847604799438e+33	1942911850829.279	745067.8598869138	57104504504.50451	0.019263174217197192	151352704932273.03	5.447963616678906e+28
1.9229302808437772e+33	1996362495529.484	750140.1411735778	57034864864.86487	0.019659278782048192	152383085565025.7	5.546691561846556e+28
1.9228748139281586e+33	2051041583355.5254	755224.6761363472	56965225225.22523	0.02006175297668735	153415955403290.72	5.646689202044903e+28
1.922818347036138e+33	2106972564233.5325	760321.5069215894	56895585585.585594	0.02047067625125859	154451323008659.66	5.747966770750958e+28
1.9227608673684306e+33	2164179266681.4727	765430.6758411392	56825945945.94595	0.020886128880557818	155489196976337.1	5.8505345465750225e+28
1.922702362022965e+33	2222685903283.6797	770552.2253728939	56756306306.30631	0.021308191972391425	156529585935261.34	5.9544028534488866e+28
1.9226428179944304e+33	2282517076241.3877	775686.1981613978	56686666666.66667	0.021736947476019078	157572498548223.5	6.05958206079021e+28
1.9225822221738226e+33	2343697783000.509	780832.6370184392	56617027027.02703	0.022172478190683097	158617943511988.25	6.166082583690621e+28
1.9225205613479856e+33	2406253421957.524	785991.5849236377	56547387387.38739	0.02261486777422391	159665929557413.72	6.273914883079142e+28
1.922457822199155e+33	2470209798244.7505	791163.0850250423	56477747747.74775	0.023064200751783854	160716465449572.44	6.383089465910044e+28
1.922393991304496e+33	2535593129595.861	796347.1806397208	56408108108.108116	0.023520562524598672	161769559987871.56	6.493616885324378e+28
1.9223290551356428e+33	2602430052293.0166	801543.9152543622	56338468468.468475	0.02398403937887953	162825222006174.9	6.605507740841811e+28
1.9222630000582343e+33	2670747627196.3726	806753.3325258637	56268828828.828835	0.02445471849478385	163883460372922.2	6.7187726785134205e+28
1.9221958123314492e+33	2740573345857.539	811975.4762819371	56199189189.18919	0.024932687955479076	164944283991252.56	6.833422391117366e+28
1.922127478107538e+33	2811935136717.667	817210.3905216991	56129549549.54955	0.025418036756297023	166007701799124.03	6.94946761831456e+28
1.9220579834313547e+33	2884861371391.7554	822458.1194162769	56059909909.90991	0.02591085481398265	167073722769436.94	7.066919146836475e+28
1.9219873142398864e+33	2959380871039.984	827718.707309402	55990270270.27028	0.026411232976035724	168142355910154.2	7.1857878106426616e+28
1.92191545636178e+33	3035522912827.615	832992.1987180184	55920630630.63064	0.026919263030148636	169213610264425.16	7.306084491111874e+28
1.921842395516869e+33	3113317236474.266	838278.6383328743	55850990990.991	0.027435037713738637	170287494910705.6	7.427820117189703e+28
1.921768117315697e+33	3192794050894.268	843578.0710191339	55781351351.35136	0.027958650723578712	171364018962882.06	7.551005665583754e+28
1.9216926072590414e+33	3273984040928.8594	848890.5418169732	55711711711.711716	0.02849019672552476	172443191570392.88	7.675652160914381e+28
